sample_id,continent,country,side,image_path,source_url,google_maps_url,orig_sha1,orig_w,orig_h,crop_w,crop_h,mime
Africa__Botswana__322312239a14_L,Africa,Botswana,L,images/Africa/Botswana/Africa__Botswana__322312239a14_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_2.jpg,https://goo.gl/maps/7ZabTGgqoMtcm73aA,322312239a149939d8abe945f6e24447460204f3,1280,800,640,800,image/jpeg
Africa__Botswana__322312239a14_R,Africa,Botswana,R,images/Africa/Botswana/Africa__Botswana__322312239a14_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_2.jpg,https://goo.gl/maps/7ZabTGgqoMtcm73aA,322312239a149939d8abe945f6e24447460204f3,1280,800,640,800,image/jpeg
Africa__Botswana__02e3336c2804_L,Africa,Botswana,L,images/Africa/Botswana/Africa__Botswana__02e3336c2804_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_542.jpg,https://goo.gl/maps/Qy1is2TwJ4ibGtvs9,02e3336c28042571b0786f57815318afe135e62c,1280,800,640,800,image/jpeg
Africa__Botswana__02e3336c2804_R,Africa,Botswana,R,images/Africa/Botswana/Africa__Botswana__02e3336c2804_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_542.jpg,https://goo.gl/maps/Qy1is2TwJ4ibGtvs9,02e3336c28042571b0786f57815318afe135e62c,1280,800,640,800,image/jpeg
Africa__Ghana__a33928608861_L,Africa,Ghana,L,images/Africa/Ghana/Africa__Ghana__a33928608861_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_7.jpg,https://goo.gl/maps/Dz7Nnxt4SBh1cKcR7,a33928608861623d96f3edcb117d0cf6b79b07ff,1280,800,640,800,image/jpeg
Africa__Ghana__a33928608861_R,Africa,Ghana,R,images/Africa/Ghana/Africa__Ghana__a33928608861_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_7.jpg,https://goo.gl/maps/Dz7Nnxt4SBh1cKcR7,a33928608861623d96f3edcb117d0cf6b79b07ff,1280,800,640,800,image/jpeg
Africa__Ghana__953b73a8e1c0_L,Africa,Ghana,L,images/Africa/Ghana/Africa__Ghana__953b73a8e1c0_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_637.jpg,https://goo.gl/maps/9yupskW4fdr3Bfy3A,953b73a8e1c04a35744552c9b6a8892f7993ecfd,1280,800,640,800,image/jpeg
Africa__Ghana__953b73a8e1c0_R,Africa,Ghana,R,images/Africa/Ghana/Africa__Ghana__953b73a8e1c0_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_637.jpg,https://goo.gl/maps/9yupskW4fdr3Bfy3A,953b73a8e1c04a35744552c9b6a8892f7993ecfd,1280,800,640,800,image/jpeg
Africa__Ghana__45bcf2a58505_L,Africa,Ghana,L,images/Africa/Ghana/Africa__Ghana__45bcf2a58505_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_658.jpg,https://goo.gl/maps/4vykveMsG2jCLK6QA,45bcf2a58505e3c4bc552001b46c5244452440b4,1280,800,640,800,image/jpeg
Africa__Ghana__45bcf2a58505_R,Africa,Ghana,R,images/Africa/Ghana/Africa__Ghana__45bcf2a58505_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_658.jpg,https://goo.gl/maps/4vykveMsG2jCLK6QA,45bcf2a58505e3c4bc552001b46c5244452440b4,1280,800,640,800,image/jpeg
Africa__Ghana__12aa37c21301_L,Africa,Ghana,L,images/Africa/Ghana/Africa__Ghana__12aa37c21301_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_659.jpg,https://goo.gl/maps/cy2HyZBnJN8wRcAd9,12aa37c213019c7083f6efdbfc5167572ea8cca2,1280,800,640,800,image/jpeg
Africa__Ghana__12aa37c21301_R,Africa,Ghana,R,images/Africa/Ghana/Africa__Ghana__12aa37c21301_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_659.jpg,https://goo.gl/maps/cy2HyZBnJN8wRcAd9,12aa37c213019c7083f6efdbfc5167572ea8cca2,1280,800,640,800,image/jpeg
Africa__Kenya__0eddd2d20ec4_L,Africa,Kenya,L,images/Africa/Kenya/Africa__Kenya__0eddd2d20ec4_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_8.jpg,https://goo.gl/maps/FixRGEUXoTZGoEaGA,0eddd2d20ec453080f643015e256ae211e1f604b,1280,800,640,800,image/jpeg
Africa__Kenya__0eddd2d20ec4_R,Africa,Kenya,R,images/Africa/Kenya/Africa__Kenya__0eddd2d20ec4_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_8.jpg,https://goo.gl/maps/FixRGEUXoTZGoEaGA,0eddd2d20ec453080f643015e256ae211e1f604b,1280,800,640,800,image/jpeg
Africa__Kenya__6f524d003803_L,Africa,Kenya,L,images/Africa/Kenya/Africa__Kenya__6f524d003803_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_320.jpg,https://goo.gl/maps/6ptapbxXb9PgcwHr5,6f524d0038039b07dfcd76529ca539f224f6d59c,1280,800,640,800,image/jpeg
Africa__Kenya__6f524d003803_R,Africa,Kenya,R,images/Africa/Kenya/Africa__Kenya__6f524d003803_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_320.jpg,https://goo.gl/maps/6ptapbxXb9PgcwHr5,6f524d0038039b07dfcd76529ca539f224f6d59c,1280,800,640,800,image/jpeg
Africa__Kenya__04facf887a90_L,Africa,Kenya,L,images/Africa/Kenya/Africa__Kenya__04facf887a90_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_414.jpg,https://maps.app.goo.gl/rQ2zFntf5QNvWQcYA,04facf887a900135e34b8e622458d259a33c89c8,1280,800,640,800,image/jpeg
Africa__Kenya__04facf887a90_R,Africa,Kenya,R,images/Africa/Kenya/Africa__Kenya__04facf887a90_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_414.jpg,https://maps.app.goo.gl/rQ2zFntf5QNvWQcYA,04facf887a900135e34b8e622458d259a33c89c8,1280,800,640,800,image/jpeg
Africa__Kenya__4db93f7fe42d_L,Africa,Kenya,L,images/Africa/Kenya/Africa__Kenya__4db93f7fe42d_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_556.jpg,https://goo.gl/maps/nnBf6Yb6RyCUK1w18,4db93f7fe42d94261b9b6bf5b2ffa8fd9741b54e,1280,800,640,800,image/jpeg
Africa__Kenya__4db93f7fe42d_R,Africa,Kenya,R,images/Africa/Kenya/Africa__Kenya__4db93f7fe42d_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_556.jpg,https://goo.gl/maps/nnBf6Yb6RyCUK1w18,4db93f7fe42d94261b9b6bf5b2ffa8fd9741b54e,1280,800,640,800,image/jpeg
Africa__Kenya__d8f080ea82fe_L,Africa,Kenya,L,images/Africa/Kenya/Africa__Kenya__d8f080ea82fe_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_671.jpg,https://goo.gl/maps/N2Kq7XrWrh5ARnso7,d8f080ea82feb86bb4f8cb7ce7cf16ae4596cb86,1280,800,640,800,image/jpeg
Africa__Kenya__d8f080ea82fe_R,Africa,Kenya,R,images/Africa/Kenya/Africa__Kenya__d8f080ea82fe_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_671.jpg,https://goo.gl/maps/N2Kq7XrWrh5ARnso7,d8f080ea82feb86bb4f8cb7ce7cf16ae4596cb86,1280,800,640,800,image/jpeg
Africa__Kenya__8eec687b9863_L,Africa,Kenya,L,images/Africa/Kenya/Africa__Kenya__8eec687b9863_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_672.jpg,https://maps.app.goo.gl/x2M9PmvBqJPXH38V7,8eec687b9863949f0e73dcdfd2c5882e7df30f6a,1280,800,640,800,image/jpeg
Africa__Kenya__8eec687b9863_R,Africa,Kenya,R,images/Africa/Kenya/Africa__Kenya__8eec687b9863_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_672.jpg,https://maps.app.goo.gl/x2M9PmvBqJPXH38V7,8eec687b9863949f0e73dcdfd2c5882e7df30f6a,1280,800,640,800,image/jpeg
Africa__Kenya__7413794bb363_L,Africa,Kenya,L,images/Africa/Kenya/Africa__Kenya__7413794bb363_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_695.jpg,https://goo.gl/maps/bUzaZKmreVAv61hS8,7413794bb3638299a4a34d7955db1a76c8781272,1280,800,640,800,image/jpeg
